data_hora,especialidade,status
2026-08-30 20:18:45,CLÍNICA MÉDICA,SEM_VAGA
2026-08-30 20:18:50,CLÍNICA MÉDICA - HÍBRIDA,SEM_VAGA
2026-08-30 20:18:55,DERMATOLOGIA,SEM_VAGA
2026-08-30 20:19:00,GASTROCLÍNICA,SEM_VAGA
2026-08-30 20:19:05,NUTRIÇÃO - DIETÉTICA,SEM_VAGA
2026-08-30 20:19:11,ODONTOLOGIA - DENTÍSTICA,SEM_VAGA
2026-08-30 20:19:16,OTORRINOLARINGOLOGIA,SEM_VAGA
2026-08-30 20:19:21,UROLOGIA,SEM_VAGA
2026-08-30 20:20:51,CLÍNICA MÉDICA,SEM_VAGA
2026-08-30 20:20:56,CLÍNICA MÉDICA - HÍBRIDA,SEM_VAGA
2026-08-30 20:21:01,DERMATOLOGIA,SEM_VAGA
2026-08-30 20:21:06,GASTROCLÍNICA,SEM_VAGA
2026-08-30 20:21:11,NUTRIÇÃO - DIETÉTICA,SEM_VAGA
2026-08-30 20:21:16,ODONTOLOGIA - DENTÍSTICA,SEM_VAGA
2026-08-30 20:21:20,OTORRINOLARINGOLOGIA,SEM_VAGA
2026-08-30 20:21:25,ORTOPEDIA,SEM_VAGA
2026-08-30 20:21:30,UROLOGIA,SEM_VAGA
2026-08-30 20:24:18,CLÍNICA MÉDICA,SEM_VAGA
2026-08-30 20:39:20,CIRURGIA PLÁSTICA,SEM_VAGA
2026-08-30 20:39:23,CLÍNICA MÉDICA,SEM_VAGA
2026-08-30 20:39:26,CLÍNICA MÉDICA - HÍBRIDA,SEM_VAGA
2026-08-30 20:39:30,DERMATOLOGIA,SEM_VAGA
2026-08-30 20:39:33,GASTROCLÍNICA,SEM_VAGA
2026-08-30 20:39:37,NUTRIÇÃO - DIETÉTICA,SEM_VAGA
2026-08-30 20:39:40,ODONTOLOGIA - DENTÍSTICA,SEM_VAGA
2026-08-30 20:39:44,ORTOPEDIA,SEM_VAGA
2026-08-30 20:39:47,OTORRINOLARINGOLOGIA,SEM_VAGA
2026-08-30 20:39:51,UROLOGIA,SEM_VAGA
2026-08-30 20:44:59,CIRURGIA PLÁSTICA,SEM_VAGA
2026-08-30 20:45:03,CLÍNICA MÉDICA,SEM_VAGA
2026-08-30 20:45:06,CLÍNICA MÉDICA - HÍBRIDA,SEM_VAGA
2026-08-30 20:45:10,DERMATOLOGIA,SEM_VAGA
2026-08-30 20:45:13,GASTROCLÍNICA,SEM_VAGA
2026-08-30 20:45:17,NUTRIÇÃO - DIETÉTICA,SEM_VAGA
2026-08-30 20:45:20,ODONTOLOGIA - DENTÍSTICA,SEM_VAGA
2026-08-30 20:45:24,ORTOPEDIA,SEM_VAGA
2026-08-30 20:45:30,OTORRINOLARINGOLOGIA,SEM_VAGA
2026-08-30 20:45:33,UROLOGIA,SEM_VAGA
